JUNIS,464718.00N,0764806.00W
JURGO,450344.31N,0743638.62W
KAGLY,633000.00N,0630000.00W
KAIIN,522023.00N,0964242.00W
KALLU,513529.00N,0945549.00W
KALTS,533718.00N,1334818.00W
KANEE,494854.00N,1172630.00W
KANNI,423800.00N,0670000.00W
KANOO,512816.00N,1221613.00W
KANUR,452412.00N,0750830.00W
KAPUX,450448.00N,0794500.00W
KASIX,494659.00N,1133300.00W
KATEN,490001.00N,1060000.00W
KATNO,674500.00N,1100000.00W
KATSY,430132.16N,0804707.40W
KAVPO,542954.60N,0664620.40W
KAXOM,511435.75N,1131009.39W
KEBAX,494807.20N,0964543.80W
KEBIR,455114.22N,0663517.01W
KEBVA,604000.00N,0900000.00W
KEDEK,574325.01N,1072618.08W
KEDGE,501336.00N,0991842.00W
KEEHO,415503.46N,0814951.36W
KEGLU,562424.00N,0900000.00W
KEINN,494859.00N,1234356.00W
KELMU,591012.00N,0800000.00W
KELSY,502718.00N,1260400.00W
KELVI,450225.99N,0741253.99W
KEMDU,502551.00N,1064427.00W
KEMSA,565018.00N,0800000.00W
KENDI,434146.00N,0790015.00W
KENGA,531706.00N,1130812.00W
KENKI,650000.00N,0630000.00W
KENPA,444742.00N,0822336.00W
KENPU,622531.82N,0900000.00W
KENRI,590000.00N,0605236.00W
KEPKA,455416.20N,0733943.80W
KEPKO,500000.00N,1310000.00W
KEPNA,494428.00N,1202150.00W
KERGI,492748.00N,1241006.00W
KERNU,481030.00N,0780712.00W
KESDA,590442.80N,1200000.00W
KESTA,491500.00N,1210000.00W
KETKI,502200.00N,1054200.00W
KETLO,623042.60N,1145118.69W
KETTL,495900.00N,1181906.00W
KEVBO,565518.00N,1040000.00W
KEVGI,535012.81N,0941958.73W
KEVLU,442050.00N,0640658.00W
KEVNA,510000.00N,1263000.00W
KEVNO,713500.00N,0900000.00W
KEVPO,580136.32N,1300000.00W
KICKS,442041.00N,0802750.00W
KISKK,551248.00N,1204600.00W
KISUT,452213.80N,0754557.00W
KITAR,600000.00N,1350000.00W
KITAV,635057.95N,1225000.00W
KITOK,430124.00N,0815518.00W
KITOL,703000.00N,1350000.00W
KL90,542907.86N,0692212.04W
KLANT,441207.01N,0820902.01W
KLIPS,574200.00N,0670000.00W
KLOPS,433540.43N,0784739.89W
KNEIL,495536.00N,1150836.00W
KOBEV,494010.00N,0512801.00W
KONCH,514800.00N,0601300.00W
KRAKE,452000.00N,0741836.00W
KRANG,485817.83N,0942923.24W
KSDRD,475630.40N,0872528.90W
KUPAN,534448.57N,1133047.48W
KYUGA,425949.18N,0800357.33W
LABRE,464506.92N,0695607.86W
LACTO,511318.00N,0934206.00W
LAFIT,451452.00N,0742739.00W
LAKES,575954.42N,0631556.79W
LANNE,491648.00N,1223906.00W
LANRK,445932.00N,0762235.00W
LEATS,514230.00N,1012512.00W
LEFAL,494200.00N,1164930.00W
LENIK,500331.80N,0971209.60W
LENIM,754938.10N,0752711.37W
LENOT,673000.00N,1000000.00W
LENUG,473149.40N,0523906.58W
LEPEN,454519.05N,0743321.97W
LEPET,562535.90N,1201615.72W
